ID,Typ,"Katalogové číslo",Jméno,Publikovaný,"Je zvýrazněný?","Viditelnost v katalogu","Krátký popis",Popis,"Sleva začíná dne","Sleva končí dne","Stav daně","Daňová třída",Skladem?,Sklad,"Práh nízkého skladu","Povoleno objednávání?","Prodávat samostatně?","Hmotnost (kg)","Délka (cm)","Šířka (cm)","Výška (cm)","Povolit zákaznické recenze?","Poznámka k nákupu","Cena po slevě","Běžná cena",Kategorie,Štítky,"Třída dopravy",Obrázky,"Limit stahování","Expirace stahování ve dnech",Nadřazené,"Seskupené produkty","Navyšovací prodej","Doplňkový prodej","Externí URL","Text tlačítka",Pozice,"Název 1 vlastnosti","Hodnota(y) 1 vlastnosti","Vlastnost 1 viditelnost","Vlastnost 1 globální","Název 2 vlastnosti","Hodnota(y) 2 vlastnosti","Vlastnost 2 viditelnost","Vlastnost 2 globální","Název 3 vlastnosti","Hodnota(y) 3 vlastnosti","Vlastnost 3 viditelnost","Vlastnost 3 globální","Název 4 vlastnosti","Hodnota(y) 4 vlastnosti","Vlastnost 4 viditelnost","Vlastnost 4 globální"
377,simple,,YFU,1,0,visible,,"Semestrální nebo roční programy v zahraničí. https://www.yfu.cz/studium-v-zahranici/studijni-pobyty/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
378,simple,,YFU,1,0,visible,,"Různé možnosti dobrovolnictví v organizaci. https://www.yfu.cz/dobrovolnici/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
379,simple,,YFU,1,0,visible,,"Možnost hostit přijíždějící zahraniční studenty. https://www.yfu.cz/hostitelska-rodina/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ, student ZŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
380,simple,,INEX-SDA,1,0,visible,,"Inex-SDA nabízí možnost vyjet na workcamp do celého světa. Je možné vyjet jak na několik týdnů, tak i na dlouhodobý několika měsíční projekt.\n\nhttps://www.inexsda.cz/aktivity/workcampy",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
381,simple,,INEX-SDA,1,0,visible,,"Každý rok nabízí Inex-sda více jak 60 míst pro vedoucí na workcampech v ČR. Máte možnost vyzkoušet si roli leadera v mezinárodní skupině a setkat se s lidmi z různých zemích světa. Nový vedoucí jsou připravování v rámci Vzdělávacícho cyklu. https://www.inexsda.cz/aktivity/workcampy/vedeni-workcampu",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
382,simple,,"Navrhni projekt",1,0,visible,,"Pokud máte nápad na zajímavý projekt a chcete se dozvědět více o evropských dotacích a o tom, jak psát projektovou žádost, přihlaste svůj nápad do této soutěže. Jako pomocná ruka slouží Eurocentra ve vašem kraji.\n\nhttps://www.dotaceeu.cz/cs/Microsites/Navrhni-projekt/Uvodni-strana",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ",1,1,"Typ aktivity",Soutěž,1,1,,,,
383,simple,,"Library of Things Prague",1,0,visible,,"Prostor v centru Prahy <a href=""http://www.libraryofthings.cz"">Library of Things Prague</a> s depozitem věcí (nářadí, sportovní potřeby, cestování, vaření, hry, umění), které půjčuje lidem na dobu jednoho týdne. Snaží se snižovat náklady lidí a podporuje myšlenku sdílení a kreativitu.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ, student VŠ, student ZŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
384,simple,,Křesadlo,1,0,visible,,"<a href=""http://hest.cz/cz/co-delame/cena-kresadlo"" target=""_blank"" rel=""noopener noreferrer"">Křesadlo</a> je ocenění práce dobrovolníků, které se každoročně uděluje v různých krajích.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Stáž,1,1,,,,
385,simple,,Lata,1,0,visible,,"Dobrovolnický program <a href=""http://www.lata.cz/dobrovolnici/informace/"" target=""_blank"" rel=""noopener noreferrer"">Ve dvou se to lépe táhne v Latě</a>. Čekají tě nové zkušenosti a zážitky v přímé práci s ohroženou mládeží.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
386,simple,,"Akademie Discover",1,0,visible,,"<a href=""https://discover.sk/cs/"" target=""_blank"" rel=""noopener noreferrer"">Akademie Discover</a> je týden, během kterého se plně ponoříš do kladení otázek a hledání odpovědí se stovkou dalších zajímavých a bystrých lidí. Vybereš si dva akademické kurzy, ve kterých na vlastní kůži zažiješ studium jako na vysoké škole.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Osobní rozvoj",1,1,,,,
387,simple,,"Asistence, o.p.s.",1,0,visible,,"Dobrovolníci v<a href=""https://www.asistence.org/volna-mista/#dobrovolniky"" target=""_blank"" rel=""noopener noreferrer""> Asistence, o.p.s.</a> pracují s lidmi s tělesným a kombinovaným postižením. Doprovází je například na kulturní a společenské akce, účastní se skupinových volnočasových aktivit, výletů za Prahu a dalšího.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
388,simple,,"Do Německa na zkušenou",1,0,visible,,"<a href=""https://dnnz.cz/cs/blog/stan-se-soucasti-naseho-tymu"" target=""_blank"" rel=""noopener noreferrer"">Do Německa na zkušenou</a> - máš zkušenosti se zahraničním pobytem v Německu a zajímá tě práce s mladými lidmi? Čeká tě prezentování na SŠ a VŠ, budeš informovat studenty o možnostech stáží, studia a dobrovolnictví v Německu.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
